Format Version,1.22,Take Name,Right_Ref_Refl,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-05 08.08.13.335 AM,Total Frames in Take,2090,Total Exported Frames,2090,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,-0.016146,-0.079671,-0.163156,-0.983246,-0.253989,0.252511,2.662588,0.000000,-0.277131,0.246579,2.776267,0.884876,-0.268833,0.244842,2.670639,0.836509,-0.299674,0.254792,2.528359,0.900548,-0.170319,0.263831,2.675089,0.842590,-0.277131,0.246579,2.776267,-0.268833,0.244842,2.670639,-0.299674,0.254792,2.528359,-0.170319,0.263831,2.675089,-0.283140,0.236404,2.775165,-0.160582,0.261365,2.675364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019444,-0.016331,-0.079718,-0.163602,-0.983165,-0.253897,0.252528,2.662626,0.000000,-0.277016,0.246528,2.776306,0.884876,-0.268732,0.244842,2.670676,0.836509,-0.299604,0.254825,2.528404,0.900548,-0.170234,0.263915,2.675119,0.842590,-0.277016,0.246528,2.776306,-0.268732,0.244842,2.670676,-0.299604,0.254825,2.528404,-0.170234,0.263915,2.675119,-0.283084,0.236424,2.775140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-0.016807,-0.079551,-0.167977,-0.982432,-0.254164,0.252866,2.662660,0.000000,-0.277252,0.246469,2.776325,0.884876,-0.268933,0.245037,2.670693,0.836509,-0.299864,0.254993,2.528433,0.900548,-0.170607,0.264965,2.675190,0.842590,-0.277252,0.246469,2.776325,-0.268933,0.245037,2.670693,-0.299864,0.254993,2.528433,-0.170607,0.264965,2.675190,-0.283112,0.236494,2.775147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.025000,-0.016040,-0.079588,-0.163904,-0.983130,-0.253959,0.252580,2.662581,0.000000,-0.277116,0.246620,2.776256,0.884876,-0.268793,0.244889,2.670629,0.836509,-0.299620,0.254784,2.528342,0.900548,-0.170309,0.264028,2.675099,0.842590,-0.277116,0.246620,2.776256,-0.268793,0.244889,2.670629,-0.299620,0.254784,2.528342,-0.170309,0.264028,2.675099,-0.283136,0.236523,2.775218,-0.160580,0.261099,2.675222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,-0.016572,-0.079249,-0.168996,-0.982286,-0.254236,0.252737,2.662679,0.000000,-0.277389,0.246314,2.776329,0.884876,-0.268995,0.244879,2.670704,0.836509,-0.299849,0.254744,2.528420,0.900548,-0.170713,0.265012,2.675263,0.842590,-0.277389,0.246314,2.776329,-0.268995,0.244879,2.670704,-0.299849,0.254744,2.528420,-0.170713,0.265012,2.675263,-0.283140,0.236423,2.775193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-0.016572,-0.079472,-0.163752,-0.983156,-0.254059,0.252447,2.662712,0.000000,-0.277223,0.246375,2.776379,0.884876,-0.268896,0.244753,2.670751,0.836509,-0.299712,0.254811,2.528473,0.900548,-0.170404,0.263849,2.675246,0.842590,-0.277223,0.246375,2.776379,-0.268896,0.244753,2.670751,-0.299712,0.254811,2.528473,-0.170404,0.263849,2.675246,-0.283107,0.236417,2.775146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.033333,-0.015953,-0.079463,-0.167956,-0.982457,-0.254192,0.252838,2.662620,0.000000,-0.277332,0.246626,2.776284,0.884876,-0.268965,0.245021,2.670660,0.836509,-0.299830,0.254739,2.528369,0.900548,-0.170642,0.264964,2.675169,0.842590,-0.277332,0.246626,2.776284,-0.268965,0.245021,2.670660,-0.299830,0.254739,2.528369,-0.170642,0.264964,2.675169,-0.283049,0.236389,2.775167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036111,-0.016245,-0.080452,-0.167960,-0.982371,-0.254564,0.252644,2.662452,0.000000,-0.277470,0.246405,2.776162,0.884876,-0.269319,0.244825,2.670520,0.836509,-0.300477,0.254578,2.528295,0.900548,-0.170988,0.264770,2.674832,0.842590,-0.277470,0.246405,2.776162,-0.269319,0.244825,2.670520,-0.300477,0.254578,2.528295,-0.170988,0.264770,2.674832,-0.283111,0.236344,2.775219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,-0.016086,-0.080286,-0.167814,-0.982412,-0.254578,0.252676,2.662393,0.000000,-0.277529,0.246475,2.776096,0.884876,-0.269338,0.244863,2.670458,0.836509,-0.300439,0.254584,2.528218,0.900548,-0.171003,0.264781,2.674801,0.842590,-0.277529,0.246475,2.776096,-0.269338,0.244863,2.670458,-0.300439,0.254584,2.528218,-0.171003,0.264781,2.674801,-0.283065,0.236354,2.775196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.041667,-0.017565,-0.080598,-0.169290,-0.982108,-0.254551,0.252601,2.662459,0.000000,-0.277359,0.245990,2.776168,0.884876,-0.269282,0.244723,2.670516,0.836509,-0.300568,0.254791,2.528342,0.900548,-0.170997,0.264901,2.674812,0.842590,-0.277359,0.245990,2.776168,-0.269282,0.244723,2.670516,-0.300568,0.254791,2.528342,-0.170997,0.264901,2.674812,-0.283114,0.236161,2.775174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
