Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,0.000179,0.193844,0.065946,-0.978813,-4.399260,0.953660,2.247114,0.000000,-4.263891,0.936384,2.181678,0.938841,-4.343781,0.939039,2.388379,0.878275,-4.252492,0.928619,2.303013,0.962321,-4.538948,0.981928,2.116598,0.884556,-4.597186,0.982328,2.245900,0.902313,-4.263891,0.936384,2.181678,-4.343781,0.939039,2.388379,-4.252492,0.928619,2.303013,-4.538948,0.981928,2.116598,-4.597186,0.982328,2.245900
7,0.019444,0.000502,0.193750,0.065635,-0.978853,-4.399337,0.953782,2.247187,0.000000,-4.263975,0.936525,2.181732,0.932743,-4.343817,0.939293,2.388450,0.894311,-4.252543,0.928855,2.303069,0.966857,-4.539070,0.981886,2.116684,0.892946,-4.597277,0.982353,2.246000,0.906520,-4.263975,0.936525,2.181732,-4.343817,0.939293,2.388450,-4.252543,0.928855,2.303069,-4.539070,0.981886,2.116684,-4.597277,0.982353,2.246000
8,0.022222,0.001252,0.193687,0.064665,-0.978929,-4.399248,0.954071,2.247285,0.000000,-4.263875,0.936912,2.181827,0.937509,-4.343669,0.939931,2.388560,0.913814,-4.252400,0.929484,2.303175,0.967813,-4.539060,0.981709,2.116766,0.896571,-4.597235,0.982319,2.246096,0.893468,-4.263875,0.936912,2.181827,-4.343669,0.939931,2.388560,-4.252400,0.929484,2.303175,-4.539060,0.981709,2.116766,-4.597235,0.982319,2.246096
9,0.025000,0.000987,0.193619,0.066287,-0.978834,-4.399416,0.953558,2.247089,0.000000,-4.264100,0.936058,2.181603,0.930983,-4.343874,0.939084,2.388344,0.906346,-4.252642,0.928454,2.302942,0.953010,-4.539149,0.981778,2.116611,0.888280,-4.597314,0.982418,2.245944,0.890410,-4.264100,0.936058,2.181603,-4.343874,0.939084,2.388344,-4.252642,0.928454,2.302942,-4.539149,0.981778,2.116611,-4.597314,0.982418,2.245944
10,0.027778,0.000379,0.193733,0.066213,-0.978817,-4.399468,0.953659,2.247125,0.000000,-4.264125,0.936285,2.181661,0.938726,-4.343964,0.939044,2.388381,0.898562,-4.252702,0.928546,2.302994,0.958471,-4.539172,0.981976,2.116635,0.891326,-4.597377,0.982446,2.245952,0.889630,-4.264125,0.936285,2.181661,-4.343964,0.939044,2.388381,-4.252702,0.928546,2.302994,-4.539172,0.981976,2.116636,-4.597377,0.982446,2.245952
11,0.030556,0.000741,0.193749,0.065020,-0.978894,-4.399311,0.953890,2.247165,0.000000,-4.263933,0.936738,2.181715,0.928187,-4.343768,0.939563,2.388436,0.924634,-4.252487,0.929167,2.303058,0.910041,-4.539082,0.981745,2.116650,0.898540,-4.597283,0.982239,2.245968,0.930578,-4.263933,0.936738,2.181715,-4.343768,0.939563,2.388436,-4.252487,0.929167,2.303057,-4.539082,0.981745,2.116650,-4.597283,0.982239,2.245968
12,0.033333,0.001522,0.193509,0.065101,-0.978935,-4.399375,0.953867,2.247041,0.000000,-4.264043,0.936557,2.181537,0.937332,-4.343756,0.939722,2.388299,0.899477,-4.252530,0.929159,2.302883,0.965149,-4.539210,0.981595,2.116567,0.892755,-4.597335,0.982304,2.245919,0.887718,-4.264043,0.936557,2.181537,-4.343756,0.939722,2.388299,-4.252530,0.929159,2.302883,-4.539210,0.981595,2.116567,-4.597335,0.982304,2.245919
13,0.036111,0.000565,0.193579,0.065906,-0.978868,-4.399344,0.953667,2.247162,0.000000,-4.264014,0.936334,2.181659,0.938059,-4.343783,0.939146,2.388405,0.882662,-4.252545,0.928658,2.302993,0.963995,-4.539107,0.981848,2.116708,0.882246,-4.597269,0.982346,2.246044,0.903121,-4.264014,0.936334,2.181659,-4.343783,0.939146,2.388405,-4.252545,0.928658,2.302993,-4.539107,0.981848,2.116708,-4.597269,0.982346,2.246044
14,0.038889,0.000985,0.193436,0.065054,-0.978953,-4.399440,0.953822,2.247079,0.000000,-4.264108,0.936620,2.181545,0.938059,-4.343805,0.939545,2.388318,0.882662,-4.252583,0.929099,2.302883,0.963995,-4.539294,0.981643,2.116645,0.882246,-4.597408,0.982200,2.246002,0.903121,-4.264108,0.936620,2.181545,-4.343805,0.939545,2.388318,-4.252583,0.929099,2.302883,-4.539294,0.981643,2.116645,-4.597408,0.982200,2.246002
15,0.041667,0.000779,0.193669,0.065231,-0.978896,-4.399419,0.953807,2.247136,0.000000,-4.264059,0.936598,2.181664,0.933173,-4.343859,0.939454,2.388397,0.925192,-4.252596,0.929020,2.303004,0.920926,-4.539199,0.981725,2.116644,0.905234,-4.597379,0.982241,2.245972,0.932017,-4.264059,0.936598,2.181664,-4.343859,0.939454,2.388397,-4.252596,0.929020,2.303004,-4.539199,0.981725,2.116644,-4.597379,0.982241,2.245972
