Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
506,1.405556,0.001623,0.196256,0.065503,-0.978361,-4.309572,0.950534,2.007304,0.000000,-4.173892,0.933076,1.942564,0.919259,-4.254755,0.936396,2.148876,0.882201,-4.163063,0.925717,2.063976,0.916103,-4.448651,0.978333,1.876039,0.942160,-4.507497,0.979147,2.005064,0.809702,-4.173892,0.933076,1.942564,-4.254755,0.936396,2.148876,-4.163063,0.925717,2.063976,-4.448651,0.978333,1.876039,-4.507497,0.979147,2.005064
507,1.408333,0.002111,0.196086,0.065558,-0.978391,-4.308806,0.950717,2.006167,0.000000,-4.173158,0.933160,1.941387,0.898509,-4.253936,0.936692,2.147730,0.848825,-4.162281,0.925908,2.062801,0.920881,-4.447930,0.978438,1.874933,0.942096,-4.506723,0.979387,2.003981,0.774824,-4.173158,0.933160,1.941387,-4.253936,0.936692,2.147730,-4.162281,0.925908,2.062801,-4.447930,0.978438,1.874933,-4.506723,0.979387,2.003981
508,1.411111,-0.000623,0.196389,0.064048,-0.978432,-4.308343,0.950559,2.005028,0.000000,-4.172566,0.933855,1.940293,0.875054,-4.253547,0.936087,2.146574,0.849560,-4.161772,0.926074,2.061682,0.899360,-4.447458,0.978338,1.873796,0.939466,-4.506373,0.978440,2.002792,0.771963,-4.172566,0.933855,1.940293,-4.253547,0.936087,2.146574,-4.161772,0.926074,2.061682,-4.447458,0.978338,1.873796,-4.506373,0.978440,2.002792
509,1.413889,0.002343,0.195652,0.066365,-0.978423,-4.307966,0.950243,2.003602,0.000000,-4.172405,0.932455,1.938703,0.884596,-4.252993,0.936138,2.145117,0.862916,-4.161432,0.925194,2.060108,0.872956,-4.447160,0.978186,1.872490,0.952678,-4.505837,0.979243,2.001590,0.780835,-4.172405,0.932455,1.938703,-4.252993,0.936138,2.145117,-4.161432,0.925194,2.060108,-4.447160,0.978186,1.872490,-4.505837,0.979243,2.001590
510,1.416667,0.003077,0.196159,0.065230,-0.978395,-4.307483,0.950163,2.002176,0.000000,-4.171829,0.932511,1.937434,0.921550,-4.252611,0.936439,2.143768,0.865120,-4.160952,0.925508,2.058862,0.905040,-4.446613,0.977581,1.870885,0.945088,-4.505408,0.978776,1.999930,0.810038,-4.171829,0.932511,1.937434,-4.252611,0.936439,2.143768,-4.160952,0.925508,2.058862,-4.446613,0.977581,1.870885,-4.505408,0.978776,1.999930
511,1.419444,-0.979778,0.092064,-0.177637,0.001950,-4.306943,0.950234,2.001050,0.000000,-4.252557,0.936380,2.141604,0.948718,-4.170398,0.931525,1.935835,0.976790,-4.161576,0.925970,2.060819,0.919548,-4.498130,0.978400,2.000556,0.921841,-4.452052,0.978892,1.866440,1.000000,-4.252557,0.936380,2.141604,-4.170398,0.931525,1.935835,-4.161576,0.925970,2.060819,-4.498130,0.978400,2.000556,-4.452052,0.978892,1.866440
512,1.422222,0.002047,0.195546,0.064751,-0.978552,-4.306622,0.950289,1.999602,0.000000,-4.171018,0.932945,1.934674,0.879930,-4.251572,0.936370,2.141106,0.887101,-4.159994,0.925726,2.056077,0.857978,-4.445938,0.977769,1.868521,0.952486,-4.504588,0.978637,1.997634,0.768440,-4.171018,0.932945,1.934674,-4.251572,0.936370,2.141106,-4.159994,0.925726,2.056077,-4.445938,0.977769,1.868521,-4.504588,0.978637,1.997634
513,1.425000,0.000937,0.195910,0.064237,-0.978515,-4.305959,0.950250,1.998129,0.000000,-4.170273,0.933226,1.933285,0.894882,-4.251011,0.936138,2.139653,0.883407,-4.159345,0.925788,2.054683,0.893278,-4.445200,0.977782,1.866979,0.948971,-4.503963,0.978318,1.996043,0.773547,-4.170273,0.933226,1.933285,-4.251011,0.936138,2.139653,-4.159345,0.925788,2.054683,-4.445200,0.977782,1.866979,-4.503963,0.978318,1.996043
514,1.427778,0.001020,0.195546,0.064106,-0.978597,-4.305500,0.950016,1.996993,0.000000,-4.169859,0.933012,1.932050,0.894513,-4.250442,0.935940,2.138478,0.867637,-4.158838,0.925598,2.053441,0.899984,-4.444847,0.977493,1.865945,0.926340,-4.503513,0.978037,1.995052,0.791221,-4.169860,0.933012,1.932050,-4.250442,0.935940,2.138478,-4.158838,0.925598,2.053441,-4.444847,0.977493,1.865945,-4.503513,0.978037,1.995052
515,1.430556,0.001267,0.195545,0.064938,-0.978542,-4.304914,0.949935,1.995561,0.000000,-4.169303,0.932687,1.930619,0.876128,-4.249879,0.935787,2.137048,0.850502,-4.158293,0.925272,2.052011,0.894841,-4.444214,0.977633,1.864510,0.933101,-4.502878,0.978299,1.993618,0.752719,-4.169303,0.932687,1.930619,-4.249879,0.935787,2.137048,-4.158293,0.925272,2.052011,-4.444214,0.977633,1.864510,-4.502878,0.978299,1.993618
516,1.433333,0.000797,0.196135,0.065914,-0.978359,-4.304245,0.949971,1.994514,0.000000,-4.168582,0.932564,1.929726,0.881759,-4.249418,0.935553,2.136054,0.857727,-4.157742,0.924982,2.051123,0.896850,-4.443328,0.978073,1.863317,0.933084,-4.502157,0.978683,1.992351,0.765364,-4.168582,0.932564,1.929726,-4.249418,0.935553,2.136054,-4.157742,0.924982,2.051123,-4.443328,0.978073,1.863317,-4.502157,0.978683,1.992351
517,1.436111,-0.001062,0.196056,0.066380,-0.978343,-4.303751,0.950106,1.993149,0.000000,-4.168085,0.932923,1.928308,0.895636,-4.248940,0.935136,2.134638,0.861410,-4.157258,0.924874,2.049676,0.887647,-4.442816,0.978736,1.862047,0.942545,-4.501657,0.978863,1.991076,0.772556,-4.168085,0.932923,1.928308,-4.248940,0.935136,2.134638,-4.157258,0.924874,2.049676,-4.442816,0.978736,1.862047,-4.501657,0.978863,1.991076
518,1.438889,0.000577,0.196099,0.066236,-0.978344,-4.303356,0.949952,1.991740,0.000000,-4.167704,0.932507,1.926937,0.905835,-4.248531,0.935424,2.133270,0.876162,-4.156863,0.924851,2.048329,0.891471,-4.442427,0.978203,1.860564,0.941913,-4.501252,0.978773,1.989600,0.783235,-4.167704,0.932507,1.926937,-4.248531,0.935424,2.133270,-4.156863,0.924851,2.048329,-4.442427,0.978203,1.860564,-4.501252,0.978773,1.989600
519,1.441667,0.001439,0.195671,0.064167,-0.978567,-4.302649,0.950186,1.990476,0.000000,-4.167000,0.933091,1.925574,0.901894,-4.247624,0.936209,2.131984,0.878545,-4.156005,0.925771,2.046973,0.896816,-4.441961,0.977597,1.859377,0.952767,-4.500653,0.978262,1.988472,0.778336,-4.167000,0.933091,1.925574,-4.247624,0.936209,2.131984,-4.156005,0.925771,2.046973,-4.441961,0.977597,1.859377,-4.500653,0.978262,1.988472
520,1.444444,0.000761,0.195574,0.064607,-0.978558,-4.302077,0.950399,1.989296,0.000000,-4.166445,0.933321,1.924355,0.904712,-4.247046,0.936175,2.130777,0.895791,-4.155442,0.925811,2.045742,0.899535,-4.441385,0.978091,1.858252,0.963360,-4.500064,0.978596,1.987354,0.790583,-4.166445,0.933321,1.924355,-4.247046,0.936175,2.130777,-4.155442,0.925811,2.045742,-4.441385,0.978091,1.858252,-4.500064,0.978596,1.987354
521,1.447222,0.000959,0.195768,0.064388,-0.978534,-4.301719,0.950134,1.987803,0.000000,-4.166057,0.933070,1.922919,0.860268,-4.246735,0.936000,2.129311,0.844505,-4.155096,0.925625,2.044314,0.898833,-4.440989,0.977712,1.856695,0.928560,-4.499715,0.978262,1.985775,0.777326,-4.166057,0.933070,1.922919,-4.246735,0.936000,2.129311,-4.155096,0.925625,2.044314,-4.440989,0.977712,1.856695,-4.499715,0.978262,1.985775
522,1.450000,0.002493,0.195280,0.064557,-0.978617,-4.301190,0.949764,1.986402,0.000000,-4.165622,0.932389,1.921407,0.942117,-4.246051,0.935986,2.127884,0.936459,-4.154523,0.925283,2.042809,0.967050,-4.440591,0.977094,1.855379,0.921761,-4.499164,0.978068,1.984527,1.000000,-4.165622,0.932389,1.921407,-4.246051,0.935986,2.127884,-4.154523,0.925283,2.042809,-4.440591,0.977094,1.855379,-4.499164,0.978068,1.984527
523,1.452778,0.002012,0.195265,0.065190,-0.978579,-4.300838,0.949393,1.985204,0.000000,-4.165284,0.931952,1.920196,0.894357,-4.245721,0.935388,2.126673,0.866211,-4.154200,0.924689,2.041590,0.915150,-4.440203,0.977026,1.854208,0.921772,-4.498781,0.977908,1.983353,0.785199,-4.165284,0.931952,1.920196,-4.245721,0.935388,2.126673,-4.154200,0.924689,2.041590,-4.440203,0.977026,1.854208,-4.498781,0.977908,1.983353
524,1.455556,0.001669,0.194897,0.065114,-0.978659,-4.299810,0.950060,1.984054,0.000000,-4.164298,0.932704,1.918937,0.865858,-4.244589,0.935974,2.125474,0.847293,-4.153125,0.925360,2.040319,0.910107,-4.439276,0.977742,1.853175,0.925768,-4.497763,0.978519,1.982363,0.767117,-4.164298,0.932704,1.918937,-4.244589,0.935974,2.125474,-4.153125,0.925360,2.040319,-4.439276,0.977742,1.853175,-4.497763,0.978519,1.982363
525,1.458333,0.000699,0.195512,0.065817,-0.978490,-4.299070,0.949970,1.982868,0.000000,-4.163484,0.932612,1.917904,0.879249,-4.244061,0.935532,2.124335,0.844550,-4.152489,0.925004,2.039286,0.879718,-4.438324,0.978069,1.851852,0.939485,-4.496992,0.978634,1.980960,0.723512,-4.163484,0.932612,1.917904,-4.244061,0.935532,2.124335,-4.152489,0.925004,2.039286,-4.438324,0.978069,1.851852,-4.496992,0.978634,1.980960
526,1.461111,0.000678,0.196091,0.065672,-0.978384,-4.298967,0.949827,1.981422,0.000000,-4.163300,0.932500,1.916620,0.896098,-4.244121,0.935417,2.122955,0.828539,-4.152445,0.924906,2.038015,0.753522,-4.438075,0.977875,1.850240,0.902636,-4.496893,0.978436,1.979278,0.685028,-4.163300,0.932500,1.916620,-4.244121,0.935417,2.122955,-4.152445,0.924906,2.038015,-4.438075,0.977875,1.850240,-4.496893,0.978436,1.979278
527,1.463889,0.002262,0.196151,0.065775,-0.978363,-4.298438,0.950145,1.979965,0.000000,-4.162790,0.932508,1.915206,0.891534,-4.243591,0.936124,2.121538,0.853373,-4.151932,0.925277,2.036623,0.880805,-4.437533,0.977905,1.848709,0.944215,-4.496341,0.978910,1.977750,0.763345,-4.162790,0.932508,1.915206,-4.243591,0.936124,2.121538,-4.151932,0.925277,2.036623,-4.437533,0.977905,1.848709,-4.496341,0.978910,1.977750
528,1.466667,0.000438,0.196265,0.064200,-0.978447,-4.298018,0.950087,1.978590,0.000000,-4.162277,0.933157,1.913838,0.892081,-4.243177,0.935859,2.120145,0.862163,-4.151442,0.925611,2.035237,0.888851,-4.437163,0.977702,1.847357,0.937811,-4.496028,0.978105,1.976375,0.781798,-4.162277,0.933157,1.913838,-4.243177,0.935859,2.120145,-4.151442,0.925611,2.035237,-4.437163,0.977702,1.847357,-4.496028,0.978105,1.976375
529,1.469444,0.001340,0.195366,0.064725,-0.978591,-4.297302,0.949972,1.977303,0.000000,-4.161710,0.932764,1.912313,0.901462,-4.242208,0.935874,2.118772,0.863879,-4.150650,0.925378,2.033702,0.894473,-4.436663,0.977589,1.846298,0.945012,-4.495278,0.978258,1.975429,0.790209,-4.161710,0.932764,1.912313,-4.242208,0.935874,2.118772,-4.150650,0.925378,2.033702,-4.436663,0.977589,1.846298,-4.495278,0.978258,1.975429
530,1.472222,0.002466,0.195251,0.063470,-0.978694,-4.296810,0.949833,1.975979,0.000000,-4.161210,0.932726,1.910979,0.861260,-4.241630,0.936226,2.117462,0.855639,-4.150086,0.925688,2.032383,0.928653,-4.436280,0.976816,1.844960,0.911869,-4.494844,0.977712,1.974112,0.782807,-4.161210,0.932726,1.910979,-4.241629,0.936226,2.117462,-4.150086,0.925688,2.032383,-4.436281,0.976816,1.844959,-4.494844,0.977712,1.974112
531,1.475000,0.001703,0.195045,0.064962,-0.978639,-4.296369,0.949406,1.974659,0.000000,-4.160832,0.932079,1.909585,0.867750,-4.241185,0.935356,2.116097,0.862730,-4.149693,0.924756,2.030971,0.903421,-4.435804,0.977031,1.843735,0.913627,-4.494328,0.977809,1.972906,0.769552,-4.160832,0.932079,1.909585,-4.241185,0.935356,2.116097,-4.149693,0.924756,2.030971,-4.435804,0.977031,1.843735,-4.494328,0.977809,1.972906
532,1.477778,0.002179,0.195030,0.064504,-0.978671,-4.295861,0.949701,1.973342,0.000000,-4.160318,0.932398,1.908272,0.895121,-4.240652,0.935847,2.114790,0.877676,-4.149161,0.925218,2.029665,0.929794,-4.435329,0.977080,1.842402,0.925007,-4.493841,0.977960,1.971578,0.816358,-4.160318,0.932398,1.908272,-4.240652,0.935847,2.114790,-4.149161,0.925218,2.029665,-4.435329,0.977080,1.842402,-4.493841,0.977960,1.971578
533,1.480556,0.003200,0.194505,0.065195,-0.978727,-4.295412,0.949994,1.971876,0.000000,-4.159977,0.932347,1.906676,0.890041,-4.240061,0.936279,2.113282,0.861991,-4.148689,0.925349,2.028067,0.895947,-4.434987,0.977400,1.841056,0.932983,-4.493345,0.978596,1.970299,0.791723,-4.159977,0.932347,1.906676,-4.240061,0.936279,2.113282,-4.148689,0.925349,2.028067,-4.434987,0.977400,1.841056,-4.493345,0.978596,1.970299
534,1.483333,0.001807,0.195246,0.064621,-0.978621,-4.294576,0.949826,1.970641,0.000000,-4.159004,0.932560,1.905625,0.886525,-4.239438,0.935862,2.112106,0.837707,-4.147907,0.925288,2.027018,0.910866,-4.433978,0.977316,1.839654,0.930124,-4.492553,0.978105,1.968801,0.736568,-4.159004,0.932560,1.905625,-4.239438,0.935862,2.112106,-4.147907,0.925288,2.027018,-4.433978,0.977316,1.839654,-4.492553,0.978105,1.968801
535,1.486111,0.001481,0.195842,0.065586,-0.978439,-4.294179,0.950173,1.969338,0.000000,-4.158555,0.932726,1.904480,0.867650,-4.239248,0.935979,2.110861,0.836024,-4.147626,0.925322,2.025880,0.893526,-4.433364,0.978034,1.838198,0.926154,-4.492104,0.978807,1.967271,0.740504,-4.158555,0.932726,1.904480,-4.239248,0.935979,2.110861,-4.147626,0.925322,2.025880,-4.433363,0.978034,1.838198,-4.492104,0.978807,1.967271
536,1.488889,0.000733,0.195526,0.064413,-0.978581,-4.293746,0.949656,1.967885,0.000000,-4.158113,0.932630,1.902931,0.893516,-4.238696,0.935456,2.109361,0.863949,-4.147096,0.925127,2.024317,0.904436,-4.433078,0.977291,1.836855,0.943622,-4.491745,0.977776,1.965963,0.775307,-4.158113,0.932630,1.902931,-4.238696,0.935456,2.109361,-4.147096,0.925127,2.024317,-4.433078,0.977291,1.836855,-4.491745,0.977776,1.965963
537,1.491667,0.002797,0.195478,0.064840,-0.978558,-4.293245,0.949763,1.966571,0.000000,-4.157664,0.932263,1.901636,0.933449,-4.238169,0.936020,2.108081,0.914410,-4.146616,0.925211,2.023046,0.947549,-4.432579,0.977121,1.835483,0.931656,-4.491199,0.978201,1.964608,0.898808,-4.157664,0.932263,1.901636,-4.238169,0.936020,2.108081,-4.146616,0.925211,2.023046,-4.432579,0.977121,1.835483,-4.491199,0.978201,1.964608
538,1.494444,0.001748,0.195696,0.064858,-0.978516,-4.292787,0.949598,1.965363,0.000000,-4.157162,0.932280,1.900470,0.957328,-4.237787,0.935588,2.106877,0.923438,-4.146181,0.924986,2.021873,0.952280,-4.432055,0.977171,1.834250,0.935949,-4.490750,0.977966,1.963343,0.908197,-4.157162,0.932280,1.900470,-4.237787,0.935588,2.106877,-4.146181,0.924986,2.021873,-4.432055,0.977171,1.834250,-4.490750,0.977966,1.963343
539,1.497222,0.001201,0.195389,0.063988,-0.978635,-4.292297,0.949660,1.963745,0.000000,-4.156677,0.932654,1.898761,0.884664,-4.237188,0.935647,2.105216,0.841839,-4.145611,0.925287,2.020151,0.900357,-4.431694,0.977065,1.832734,0.902693,-4.490315,0.977648,1.961862,0.766460,-4.156677,0.932654,1.898761,-4.237188,0.935647,2.105216,-4.145611,0.925287,2.020151,-4.431694,0.977065,1.832734,-4.490315,0.977648,1.961862
540,1.500000,0.001303,0.195154,0.064391,-0.978656,-4.291734,0.949638,1.962616,0.000000,-4.156158,0.932519,1.897567,0.887659,-4.236568,0.935581,2.104061,0.836129,-4.145041,0.925144,2.018952,0.918157,-4.431170,0.977156,1.831672,0.925488,-4.489729,0.977789,1.960828,0.772033,-4.156158,0.932519,1.897567,-4.236568,0.935581,2.104061,-4.145041,0.925144,2.018952,-4.431170,0.977156,1.831672,-4.489729,0.977789,1.960828
541,1.502778,0.001635,0.195035,0.067218,-0.978489,-4.291064,0.949551,1.961316,0.000000,-4.155601,0.931692,1.896231,0.887659,-4.235950,0.935115,2.102743,0.836129,-4.144501,0.924198,2.017610,0.918157,-4.430368,0.977923,1.830413,0.925488,-4.488897,0.978828,1.959581,0.772033,-4.155601,0.931692,1.896231,-4.235950,0.935115,2.102743,-4.144501,0.924198,2.017610,-4.430368,0.977923,1.830413,-4.488897,0.978828,1.959581
542,1.505556,0.001840,0.194457,0.066907,-0.978625,-4.290663,0.949092,1.959921,0.000000,-4.155270,0.931278,1.894680,0.899091,-4.235371,0.934748,2.101288,0.828363,-4.144019,0.923843,2.016049,0.893957,-4.430141,0.977329,1.829175,0.924243,-4.488514,0.978260,1.958413,0.771032,-4.155270,0.931278,1.894680,-4.235371,0.934748,2.101288,-4.144019,0.923843,2.016049,-4.430141,0.977329,1.829175,-4.488514,0.978260,1.958413
543,1.508333,0.001608,0.195039,0.064484,-0.978672,-4.289912,0.949235,1.958516,0.000000,-4.154359,0.932040,1.893440,0.892138,-4.234713,0.935239,2.099954,0.869134,-4.143211,0.924729,2.014826,0.925352,-4.429376,0.976723,1.827594,0.938032,-4.487900,0.977445,1.956766,0.782885,-4.154359,0.932040,1.893440,-4.234713,0.935239,2.099954,-4.143211,0.924729,2.014826,-4.429376,0.976723,1.827594,-4.487900,0.977445,1.956766
544,1.511111,0.000194,0.194913,0.064726,-0.978683,-4.289202,0.949562,1.957199,0.000000,-4.153653,0.932565,1.892064,0.879997,-4.233992,0.935163,2.098592,0.819119,-4.142496,0.924905,2.013427,0.901162,-4.428677,0.977416,1.826366,0.906323,-4.487192,0.977761,1.955543,0.758690,-4.153653,0.932565,1.892064,-4.233992,0.935163,2.098592,-4.142496,0.924905,2.013427,-4.428677,0.977416,1.826366,-4.487192,0.977761,1.955543
545,1.513889,0.001297,0.194956,0.065022,-0.978654,-4.288733,0.949600,1.955894,0.000000,-4.153203,0.932332,1.890788,0.893585,-4.233530,0.935435,2.097314,0.874244,-4.142048,0.924910,2.012167,0.896619,-4.428185,0.977327,1.825011,0.942285,-4.486694,0.977996,1.954189,0.770885,-4.153203,0.932332,1.890788,-4.233530,0.935435,2.097314,-4.142048,0.924909,2.012167,-4.428185,0.977327,1.825011,-4.486694,0.977996,1.954189
546,1.516667,0.002225,0.195292,0.064519,-0.978618,-4.288177,0.949480,1.954867,0.000000,-4.152601,0.932162,1.889871,0.903097,-4.233043,0.935640,2.096346,0.870196,-4.141508,0.924996,2.011271,0.905227,-4.427575,0.976851,1.823851,0.950243,-4.486155,0.977749,1.952996,0.757799,-4.152601,0.932162,1.889871,-4.233043,0.935640,2.096346,-4.141508,0.924996,2.011271,-4.427575,0.976851,1.823851,-4.486155,0.977749,1.952996
547,1.519444,0.000703,0.195214,0.064137,-0.978661,-4.287785,0.949466,1.953302,0.000000,-4.152184,0.932516,1.888261,0.931498,-4.232636,0.935298,2.094742,0.887288,-4.141085,0.925020,2.009640,0.939734,-4.427217,0.977022,1.822360,0.946008,-4.485801,0.977474,1.951505,0.822151,-4.152184,0.932516,1.888261,-4.232636,0.935298,2.094742,-4.141085,0.925020,2.009640,-4.427217,0.977022,1.822360,-4.485801,0.977474,1.951505
548,1.522222,0.002005,0.194942,0.064967,-0.978659,-4.287215,0.949578,1.952043,0.000000,-4.151696,0.932197,1.886945,0.888118,-4.231997,0.935603,2.093476,0.855994,-4.140528,0.924943,2.008333,0.895010,-4.426679,0.977145,1.821138,0.939884,-4.485172,0.978005,1.950323,0.783108,-4.151696,0.932197,1.886945,-4.231997,0.935603,2.093476,-4.140528,0.924943,2.008333,-4.426679,0.977145,1.821138,-4.485172,0.978005,1.950323
549,1.525000,0.003303,0.195266,0.068057,-0.978381,-4.287003,0.948919,1.950576,0.000000,-4.151564,0.930555,1.885582,0.887563,-4.231961,0.934776,2.092060,0.869909,-4.140514,0.923395,2.006986,0.892912,-4.426206,0.977223,1.819551,0.930326,-4.484767,0.978647,1.948699,0.780936,-4.151564,0.930555,1.885582,-4.231961,0.934776,2.092060,-4.140514,0.923395,2.006986,-4.426206,0.977223,1.819551,-4.484767,0.978647,1.948699
550,1.527778,0.000219,0.195609,0.066118,-0.978451,-4.286539,0.948927,1.949016,0.000000,-4.150942,0.931582,1.884072,0.941448,-4.231574,0.934319,2.090483,0.923240,-4.139983,0.923842,2.005448,0.943544,-4.425746,0.977219,1.817993,0.939322,-4.484447,0.977674,1.947085,0.909651,-4.150942,0.931582,1.884072,-4.231574,0.934319,2.090484,-4.139983,0.923842,2.005448,-4.425746,0.977219,1.817993,-4.484447,0.977674,1.947085
551,1.530556,0.000186,0.195863,0.065600,-0.978435,-4.285893,0.948830,1.947746,0.000000,-4.150246,0.931612,1.882872,0.899561,-4.230985,0.934302,2.089243,0.862475,-4.139340,0.923904,2.004256,0.910670,-4.425063,0.976957,1.816647,0.949026,-4.483830,0.977373,1.945709,0.778836,-4.150246,0.931612,1.882872,-4.230985,0.934302,2.089243,-4.139340,0.923904,2.004256,-4.425063,0.976957,1.816647,-4.483830,0.977373,1.945709
552,1.533333,-0.000143,0.194762,0.064213,-0.978746,-4.285264,0.949538,1.946380,0.000000,-4.149714,0.932727,1.881200,0.904154,-4.229999,0.935134,2.087751,0.874249,-4.138515,0.925022,2.002557,0.887242,-4.424807,0.977294,1.815599,0.934477,-4.483287,0.977511,1.944792,0.783712,-4.149714,0.932727,1.881200,-4.229999,0.935134,2.087751,-4.138515,0.925022,2.002557,-4.424807,0.977294,1.815599,-4.483287,0.977511,1.944792
553,1.536111,-0.000013,0.194887,0.065441,-0.978640,-4.284651,0.949470,1.945124,0.000000,-4.149125,0.932338,1.879977,0.917895,-4.229459,0.934900,2.086507,0.859831,-4.137977,0.924580,2.001335,0.888325,-4.424090,0.977598,1.814312,0.932006,-4.482604,0.977932,1.943490,0.788182,-4.149125,0.932338,1.879977,-4.229459,0.934900,2.086507,-4.137977,0.924580,2.001335,-4.424090,0.977598,1.814312,-4.482604,0.977932,1.943490
554,1.538889,0.001411,0.195114,0.065187,-0.978611,-4.283992,0.949414,1.943834,0.000000,-4.148449,0.932084,1.878774,0.879686,-4.228839,0.935254,2.085274,1.000000,-4.137335,0.924679,2.000157,0.881154,-4.423394,0.977170,1.812903,0.960628,-4.481943,0.977884,1.942063,0.843103,-4.148449,0.932084,1.878774,-4.228839,0.935254,2.085274,-4.137335,0.924679,2.000157,-4.423394,0.977170,1.812903,-4.481943,0.977884,1.942063
555,1.541667,0.000852,0.194807,0.066486,-0.978585,-4.283210,0.949549,1.942323,0.000000,-4.147741,0.932011,1.877164,0.902505,-4.228018,0.935028,2.083711,0.858061,-4.136582,0.924380,1.998530,0.907683,-4.422614,0.977844,1.811509,0.954841,-4.481095,0.978482,1.940701,0.782017,-4.147741,0.932011,1.877164,-4.228018,0.935028,2.083711,-4.136582,0.924380,1.998530,-4.422614,0.977844,1.811509,-4.481095,0.978482,1.940701
556,1.544444,0.001297,0.194933,0.065245,-0.978643,-4.283018,0.949419,1.941007,0.000000,-4.147499,0.932097,1.875894,0.893793,-4.227816,0.935217,2.082423,0.868409,-4.136343,0.924659,1.997272,0.903737,-4.422464,0.977219,1.810132,0.945772,-4.480968,0.977902,1.939313,0.770927,-4.147499,0.932098,1.875894,-4.227816,0.935217,2.082423,-4.136343,0.924659,1.997272,-4.422464,0.977219,1.810132,-4.480967,0.977902,1.939313
557,1.547222,-0.000208,0.195553,0.065154,-0.978526,-4.282559,0.948805,1.939622,0.000000,-4.146933,0.931770,1.874658,0.880228,-4.227552,0.934245,2.081078,0.868153,-4.135947,0.923996,1.996029,0.909764,-4.421836,0.976871,1.808623,0.942639,-4.480527,0.977144,1.937720,0.770876,-4.146933,0.931770,1.874658,-4.227552,0.934245,2.081078,-4.135947,0.923996,1.996029,-4.421836,0.976871,1.808623,-4.480527,0.977144,1.937720
558,1.550000,-0.000524,0.195666,0.064469,-0.978549,-4.281890,0.949022,1.938321,0.000000,-4.146222,0.932207,1.873385,0.858187,-4.226898,0.934494,2.079785,0.842829,-4.135256,0.924409,1.994757,0.912155,-4.421174,0.976927,1.807296,0.931609,-4.479899,0.977071,1.936378,0.753569,-4.146222,0.932207,1.873385,-4.226898,0.934494,2.079785,-4.135256,0.924409,1.994757,-4.421174,0.976927,1.807296,-4.479899,0.977071,1.936378
559,1.552778,0.001073,0.194991,0.064329,-0.978693,-4.281575,0.949126,1.936692,0.000000,-4.146015,0.932065,1.871594,0.904466,-4.226363,0.935017,2.078114,0.864755,-4.134860,0.924639,1.992972,0.894439,-4.421057,0.976672,1.805802,0.945185,-4.479577,0.977235,1.934976,0.764843,-4.146015,0.932065,1.871594,-4.226363,0.935017,2.078114,-4.134860,0.924639,1.992972,-4.421057,0.976672,1.805802,-4.479577,0.977235,1.934976
560,1.555556,0.001661,0.194953,0.065259,-0.978638,-4.280813,0.949088,1.935590,0.000000,-4.145298,0.931698,1.870489,0.853798,-4.225613,0.934977,2.077016,0.853995,-4.134141,0.924343,1.991871,0.886947,-4.420255,0.976819,1.804696,0.920432,-4.478758,0.977603,1.933877,0.743782,-4.145298,0.931698,1.870489,-4.225613,0.934977,2.077016,-4.134141,0.924343,1.991871,-4.420255,0.976819,1.804696,-4.478758,0.977603,1.933877
561,1.558333,0.001446,0.194774,0.065251,-0.978674,-4.279913,0.949224,1.934319,0.000000,-4.144418,0.931876,1.869164,0.907191,-4.224664,0.935056,2.075720,0.849896,-4.133220,0.924469,1.990540,0.916655,-4.419403,0.976998,1.803484,0.935049,-4.477861,0.977719,1.932685,0.789137,-4.144418,0.931876,1.869164,-4.224664,0.935056,2.075720,-4.133220,0.924469,1.990540,-4.419403,0.976998,1.803484,-4.477861,0.977719,1.932685
562,1.561111,0.003745,0.194177,0.065938,-0.978741,-4.279534,0.949211,1.932845,0.000000,-4.144175,0.931290,1.867561,0.895521,-4.224104,0.935507,2.074221,0.875403,-4.132813,0.924362,1.988950,0.877913,-4.419156,0.976754,1.802104,0.937137,-4.477420,0.978142,1.931388,0.803723,-4.144175,0.931290,1.867561,-4.224104,0.935507,2.074221,-4.132813,0.924362,1.988950,-4.419156,0.976754,1.802104,-4.477420,0.978142,1.931388
