Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1897,5.269444,0.009266,-0.005240,0.040717,-0.999114,-3.760829,0.926867,2.428526,0.000000,-3.661121,0.915289,2.315259,0.863103,-3.653944,0.916430,2.536758,0.846381,-3.602873,0.909399,2.422425,0.899795,-3.941580,0.947077,2.363205,0.922409,-3.944625,0.946142,2.504982,0.764464,-3.661121,0.915289,2.315259,-3.653944,0.916430,2.536758,-3.602873,0.909399,2.422425,-3.941580,0.947077,2.363205,-3.944625,0.946142,2.504982,,,
1898,5.272222,0.009489,-0.005246,0.040405,-0.999125,-3.760779,0.926800,2.428551,0.000000,-3.661068,0.915234,2.315286,0.862586,-3.653884,0.916477,2.536784,0.845554,-3.602812,0.909428,2.422453,0.899028,-3.941545,0.946868,2.363228,0.920011,-3.944584,0.945993,2.505005,0.762171,-3.661068,0.915234,2.315286,-3.653884,0.916477,2.536784,-3.602812,0.909428,2.422453,-3.941545,0.946868,2.363228,-3.944584,0.945993,2.505005,,,
1899,5.275000,0.009349,-0.005261,0.040108,-0.999138,-3.760663,0.926869,2.428556,0.000000,-3.660948,0.915394,2.315284,0.865879,-3.653760,0.916578,2.536783,0.851923,-3.602686,0.909592,2.422449,0.900768,-3.941442,0.946848,2.363242,0.928852,-3.944479,0.945931,2.505019,0.760619,-3.660948,0.915394,2.315284,-3.653760,0.916578,2.536783,-3.602686,0.909592,2.422449,-3.941442,0.946848,2.363242,-3.944479,0.945931,2.505019,,,
1900,5.277778,0.009151,-0.005287,0.040456,-0.999125,-3.760699,0.926940,2.428567,0.000000,-3.660996,0.915440,2.315288,0.868961,-3.653800,0.916533,2.536787,0.839587,-3.602735,0.909556,2.422448,0.904767,-3.941467,0.947072,2.363266,0.923380,-3.944499,0.946101,2.505044,0.764119,-3.660996,0.915440,2.315288,-3.653800,0.916533,2.536787,-3.602735,0.909556,2.422448,-3.941467,0.947072,2.363266,-3.944499,0.946101,2.505044,,,
1901,5.280556,0.009685,-0.005403,0.040202,-0.999130,-3.760667,0.926892,2.428488,0.000000,-3.660989,0.915323,2.315193,0.869494,-3.653732,0.916653,2.536689,0.839363,-3.602695,0.909582,2.422343,0.905325,-3.941463,0.946862,2.363216,0.924992,-3.944455,0.946039,2.504995,0.764813,-3.660989,0.915323,2.315193,-3.653732,0.916653,2.536689,-3.602695,0.909582,2.422343,-3.941463,0.946862,2.363216,-3.944455,0.946039,2.504995,,,
1902,5.283333,0.009476,-0.004969,0.040224,-0.999133,-3.760549,0.926845,2.428637,0.000000,-3.660771,0.915316,2.315426,0.874199,-3.653709,0.916560,2.536929,0.843169,-3.602572,0.909531,2.422625,0.902252,-3.941286,0.946846,2.363214,0.926757,-3.944403,0.945970,2.504989,0.767596,-3.660771,0.915316,2.315426,-3.653709,0.916560,2.536929,-3.602572,0.909531,2.422625,-3.941286,0.946846,2.363214,-3.944403,0.945970,2.504989,,,
1903,5.286111,0.009127,-0.005291,0.040522,-0.999123,-3.760612,0.926997,2.428493,0.000000,-3.660911,0.915490,2.315213,0.877032,-3.653713,0.916570,2.536712,0.852861,-3.602650,0.909592,2.422373,0.900577,-3.941377,0.947155,2.363195,0.934292,-3.944409,0.946178,2.504972,0.754661,-3.660911,0.915490,2.315213,-3.653713,0.916570,2.536712,-3.602650,0.909592,2.422373,-3.941377,0.947155,2.363195,-3.944409,0.946178,2.504972,,,
1904,5.288889,0.009035,-0.005080,0.040733,-0.999116,-3.760684,0.926872,2.428577,0.000000,-3.660939,0.915341,2.315338,0.863936,-3.653837,0.916382,2.536841,0.845136,-3.602727,0.909402,2.422522,0.897552,-3.941413,0.947117,2.363203,0.920795,-3.944506,0.946117,2.504978,0.763726,-3.660939,0.915341,2.315338,-3.653837,0.916382,2.536841,-3.602727,0.909402,2.422522,-3.941413,0.947117,2.363203,-3.944506,0.946117,2.504978,,,
1905,5.291667,0.009132,-0.005283,0.040501,-0.999124,-3.760600,0.926950,2.428575,0.000000,-3.660896,0.915445,2.315297,0.865279,-3.653702,0.916529,2.536796,0.851557,-3.602637,0.909552,2.422457,0.900126,-3.941365,0.947100,2.363274,0.929230,-3.944398,0.946124,2.505051,0.760513,-3.660896,0.915445,2.315297,-3.653702,0.916529,2.536796,-3.602637,0.909552,2.422457,-3.941365,0.947100,2.363274,-3.944398,0.946124,2.505051,,,
1906,5.294444,0.009068,-0.005330,0.040444,-0.999126,-3.760681,0.926954,2.428614,0.000000,-3.660987,0.915476,2.315325,0.860551,-3.653773,0.916530,2.536824,0.848119,-3.602717,0.909574,2.422480,0.903745,-3.941454,0.947093,2.363331,0.927866,-3.944475,0.946098,2.505108,0.757900,-3.660987,0.915476,2.315325,-3.653773,0.916530,2.536824,-3.602717,0.909574,2.422480,-3.941454,0.947093,2.363331,-3.944475,0.946098,2.505108,,,
1907,5.297222,0.009448,-0.005344,0.040042,-0.999139,-3.760573,0.926897,2.428573,0.000000,-3.660877,0.915413,2.315287,0.869511,-3.653649,0.916641,2.536784,0.840093,-3.602595,0.909640,2.422442,0.905568,-3.941366,0.946840,2.363287,0.925131,-3.944377,0.945949,2.505065,0.765925,-3.660877,0.915413,2.315287,-3.653649,0.916641,2.536784,-3.602595,0.909640,2.422442,-3.941366,0.946840,2.363287,-3.944377,0.945949,2.505065,,,
1908,5.300000,0.009350,-0.005175,0.040244,-0.999133,-3.760614,0.926861,2.428699,0.000000,-3.660882,0.915359,2.315446,0.871668,-3.653732,0.916543,2.536946,0.859897,-3.602641,0.909542,2.422620,0.895289,-3.941376,0.946889,2.363354,0.930633,-3.944437,0.945974,2.505131,0.756700,-3.660882,0.915359,2.315446,-3.653732,0.916543,2.536946,-3.602641,0.909542,2.422620,-3.941376,0.946889,2.363354,-3.944437,0.945974,2.505131,,,
1909,5.302778,0.009478,-0.004846,0.040395,-0.999127,-3.760617,0.926796,2.428811,0.000000,-3.660815,0.915232,2.315625,0.853575,-3.653808,0.916477,2.537130,0.838461,-3.602645,0.909429,2.422839,0.898866,-3.941331,0.946858,2.363342,0.920729,-3.944484,0.945984,2.505117,0.760957,-3.660815,0.915232,2.315625,-3.653808,0.916477,2.537130,-3.602645,0.909429,2.422839,-3.941331,0.946858,2.363342,-3.944484,0.945984,2.505117,,,
1910,5.305556,0.009433,-0.005135,0.040444,-0.999124,-3.760712,0.926813,2.428753,0.000000,-3.660976,0.915251,2.315509,0.877270,-3.653842,0.916471,2.537010,0.852643,-3.602745,0.909430,2.422689,0.901361,-3.941461,0.946902,2.363391,0.934189,-3.944533,0.946012,2.505167,0.755388,-3.660976,0.915251,2.315509,-3.653842,0.916471,2.537010,-3.602745,0.909430,2.422689,-3.941461,0.946902,2.363391,-3.944533,0.946012,2.505167,,,
1911,5.308333,0.008623,-0.005279,0.040740,-0.999119,-3.760558,0.927039,2.428727,0.000000,-3.660854,0.915601,2.315442,0.857510,-3.653672,0.916456,2.536943,0.840911,-3.602603,0.909570,2.422600,0.903080,-3.941310,0.947343,2.363436,0.919375,-3.944352,0.946224,2.505212,0.759829,-3.660854,0.915601,2.315442,-3.653672,0.916456,2.536943,-3.602603,0.909570,2.422600,-3.941310,0.947343,2.363436,-3.944352,0.946224,2.505212,,,
1912,5.311111,0.008984,-0.005098,0.040778,-0.999115,-3.760636,0.926912,2.428749,0.000000,-3.660895,0.915384,2.315506,0.857317,-3.653786,0.916402,2.537009,0.839790,-3.602681,0.909428,2.422688,0.901297,-3.941365,0.947180,2.363383,0.920154,-3.944454,0.946167,2.505159,0.760313,-3.660895,0.915384,2.315506,-3.653786,0.916402,2.537009,-3.602681,0.909428,2.422688,-3.941365,0.947180,2.363383,-3.944454,0.946167,2.505159,,,
1913,5.313889,0.008927,-0.005207,0.040436,-0.999129,-3.760520,0.927007,2.428688,0.000000,-3.660797,0.915561,2.315422,0.860255,-3.653640,0.916556,2.536923,0.849021,-3.602554,0.909631,2.422590,0.905077,-3.941277,0.947160,2.363365,0.928390,-3.944334,0.946126,2.505141,0.757354,-3.660797,0.915561,2.315422,-3.653640,0.916556,2.536923,-3.602554,0.909631,2.422590,-3.941277,0.947160,2.363365,-3.944334,0.946126,2.505141,,,
1914,5.316667,0.009091,-0.005218,0.040551,-0.999123,-3.760534,0.926986,2.428719,0.000000,-3.660816,0.915480,2.315453,0.859579,-3.653652,0.916545,2.536953,0.847026,-3.602572,0.909572,2.422621,0.902982,-3.941288,0.947158,2.363394,0.928485,-3.944341,0.946172,2.505171,0.757336,-3.660816,0.915480,2.315453,-3.653652,0.916545,2.536953,-3.602572,0.909572,2.422621,-3.941288,0.947158,2.363394,-3.944341,0.946172,2.505171,,,
1915,5.319444,0.008784,-0.005056,0.040668,-0.999121,-3.760633,0.926861,2.428743,0.000000,-3.660878,0.915400,2.315506,0.855869,-3.653792,0.916331,2.537009,0.842045,-3.602673,0.909414,2.422690,0.910764,-3.941360,0.947116,2.363367,0.920482,-3.944463,0.946045,2.505142,0.754974,-3.660878,0.915400,2.315506,-3.653792,0.916331,2.537009,-3.602673,0.909414,2.422690,-3.941360,0.947116,2.363367,-3.944463,0.946045,2.505142,,,
1916,5.322222,0.008811,-0.005308,0.040285,-0.999135,-3.760674,0.926871,2.428723,0.000000,-3.660968,0.915482,2.315435,0.854655,-3.653769,0.916426,2.536935,0.839549,-3.602703,0.909544,2.422590,0.897469,-3.941449,0.946986,2.363440,0.918442,-3.944478,0.945917,2.505216,0.751040,-3.660968,0.915482,2.315435,-3.653769,0.916426,2.536935,-3.602703,0.909544,2.422590,-3.941449,0.946986,2.363440,-3.944478,0.945917,2.505216,,,
1917,5.325000,0.008544,-0.005015,0.040428,-0.999133,-3.760527,0.926937,2.428781,0.000000,-3.660756,0.915577,2.315548,0.866369,-3.653690,0.916406,2.537052,0.841572,-3.602558,0.909568,2.422735,0.898733,-3.941256,0.947136,2.363398,0.930926,-3.944372,0.945996,2.505172,0.754680,-3.660756,0.915577,2.315548,-3.653690,0.916406,2.537052,-3.602558,0.909568,2.422735,-3.941256,0.947136,2.363398,-3.944372,0.945996,2.505172,,,
1918,5.327778,0.008658,-0.005077,0.040471,-0.999130,-3.760529,0.926903,2.428787,0.000000,-3.660774,0.915510,2.315543,0.852947,-3.653679,0.916387,2.537047,0.843422,-3.602562,0.909520,2.422724,0.892916,-3.941266,0.947104,2.363424,0.925511,-3.944363,0.945995,2.505198,0.750266,-3.660774,0.915510,2.315543,-3.653679,0.916387,2.537047,-3.602562,0.909520,2.422724,-3.941266,0.947104,2.363424,-3.944363,0.945995,2.505198,,,
1919,5.330556,0.008917,-0.005252,0.040510,-0.999126,-3.760566,0.926901,2.428746,0.000000,-3.660853,0.915443,2.315471,0.858212,-3.653677,0.916432,2.536971,0.846520,-3.602603,0.909502,2.422633,0.901813,-3.941325,0.947083,2.363439,0.928286,-3.944370,0.946047,2.505215,0.749933,-3.660853,0.915443,2.315471,-3.653677,0.916432,2.536971,-3.602603,0.909502,2.422633,-3.941325,0.947083,2.363439,-3.944370,0.946047,2.505215,,,
1920,5.333333,0.008822,-0.005251,0.040428,-0.999130,-3.760534,0.926943,2.428758,0.000000,-3.660818,0.915523,2.315482,0.858826,-3.653644,0.916470,2.536982,0.845298,-3.602568,0.909571,2.422644,0.900818,-3.941296,0.947108,2.363453,0.928371,-3.944342,0.946044,2.505229,0.748180,-3.660818,0.915523,2.315482,-3.653644,0.916470,2.536982,-3.602568,0.909571,2.422644,-3.941296,0.947108,2.363453,-3.944342,0.946044,2.505229,,,
1921,5.336111,0.009462,-0.005234,0.040009,-0.999141,-3.760522,0.926830,2.428791,0.000000,-3.660800,0.915350,2.315527,0.864436,-3.653621,0.916586,2.537026,0.853761,-3.602542,0.909584,2.422695,0.895219,-3.941303,0.946759,2.363465,0.929355,-3.944344,0.945873,2.505242,0.744202,-3.660800,0.915350,2.315527,-3.653621,0.916586,2.537026,-3.602542,0.909584,2.422695,-3.941303,0.946759,2.363465,-3.944344,0.945873,2.505242,,,
1922,5.338889,0.008500,-0.005133,0.040925,-0.999113,-3.760641,0.926926,2.428877,0.000000,-3.660907,0.915478,2.315620,0.857972,-3.653791,0.916279,2.537123,0.845480,-3.602691,0.909401,2.422794,0.901423,-3.941365,0.947312,2.363536,0.927894,-3.944451,0.946162,2.505311,0.748354,-3.660907,0.915478,2.315620,-3.653791,0.916279,2.537123,-3.602691,0.909401,2.422794,-3.941365,0.947312,2.363536,-3.944451,0.946162,2.505311,,,
1923,5.341667,0.009021,-0.005308,0.040432,-0.999128,-3.760608,0.926877,2.428838,0.000000,-3.660908,0.915411,2.315553,0.854261,-3.653705,0.916446,2.537052,0.843988,-3.602643,0.909502,2.422709,0.894348,-3.941379,0.947017,2.363548,0.925841,-3.944406,0.946009,2.505325,0.750342,-3.660908,0.915411,2.315553,-3.653705,0.916446,2.537052,-3.602643,0.909502,2.422709,-3.941379,0.947017,2.363548,-3.944406,0.946009,2.505325,,,
1924,5.344444,0.008805,-0.005227,0.040355,-0.999133,-3.760615,0.926877,2.428863,0.000000,-3.660892,0.915475,2.315591,0.855283,-3.653729,0.916416,2.537091,0.843561,-3.602646,0.909528,2.422755,0.896147,-3.941376,0.947017,2.363550,0.925555,-3.944429,0.945948,2.505325,0.751827,-3.660892,0.915475,2.315591,-3.653729,0.916416,2.537091,-3.602646,0.909528,2.422755,-3.941376,0.947017,2.363550,-3.944429,0.945948,2.505325,,,
1925,5.347222,0.008889,-0.005187,0.040543,-0.999125,-3.760512,0.926942,2.428878,0.000000,-3.660786,0.915483,2.315616,0.855092,-3.653638,0.916460,2.537117,0.843571,-3.602550,0.909533,2.422786,0.894705,-3.941262,0.947139,2.363548,0.926044,-3.944325,0.946095,2.505324,0.751214,-3.660786,0.915483,2.315616,-3.653638,0.916460,2.537117,-3.602550,0.909533,2.422786,-3.941262,0.947139,2.363548,-3.944325,0.946095,2.505324,,,
1926,5.350000,0.008942,-0.005050,0.040760,-0.999116,-3.760603,0.926846,2.428930,0.000000,-3.660850,0.915331,2.315696,0.854795,-3.653763,0.916331,2.537199,0.843877,-3.602646,0.909369,2.422883,0.894184,-3.941325,0.947113,2.363548,0.925922,-3.944428,0.946088,2.505323,0.750898,-3.660850,0.915331,2.315696,-3.653763,0.916331,2.537199,-3.602646,0.909369,2.422883,-3.941325,0.947113,2.363548,-3.944428,0.946088,2.505323,,,
1927,5.352778,0.009241,-0.005352,0.040387,-0.999127,-3.760565,0.926927,2.428931,0.000000,-3.660875,0.915422,2.315640,0.853880,-3.653649,0.916553,2.537138,0.843876,-3.602599,0.909564,2.422793,0.895200,-3.941344,0.947023,2.363652,0.926256,-3.944356,0.946076,2.505429,0.751461,-3.660875,0.915422,2.315640,-3.653649,0.916553,2.537138,-3.602599,0.909564,2.422793,-3.941344,0.947023,2.363652,-3.944356,0.946076,2.505429,,,
1928,5.355556,0.009052,-0.005306,0.040501,-0.999124,-3.760570,0.926950,2.428887,0.000000,-3.660870,0.915464,2.315603,0.852734,-3.653668,0.916511,2.537103,0.842403,-3.602607,0.909552,2.422761,0.894519,-3.941337,0.947111,2.363596,0.923260,-3.944365,0.946112,2.505373,0.747444,-3.660870,0.915464,2.315603,-3.653668,0.916511,2.537103,-3.602607,0.909552,2.422761,-3.941337,0.947111,2.363596,-3.944365,0.946112,2.505373,,,
1929,5.358333,0.009154,-0.005409,0.040353,-0.999129,-3.760638,0.926920,2.428913,0.000000,-3.660960,0.915441,2.315610,0.870212,-3.653710,0.916534,2.537107,0.843395,-3.602672,0.909568,2.422756,0.905743,-3.941426,0.947015,2.363657,0.934212,-3.944423,0.946043,2.505435,0.753447,-3.660960,0.915441,2.315610,-3.653710,0.916534,2.537107,-3.602672,0.909568,2.422756,-3.941426,0.947015,2.363657,-3.944423,0.946043,2.505435,,,
1930,5.361111,0.009156,-0.005258,0.040509,-0.999123,-3.760494,0.926931,2.428916,0.000000,-3.660785,0.915419,2.315643,0.850686,-3.653601,0.916513,2.537143,0.836799,-3.602531,0.909529,2.422807,0.897367,-3.941255,0.947080,2.363605,0.920682,-3.944296,0.946112,2.505382,0.752869,-3.660785,0.915419,2.315643,-3.653601,0.916513,2.537143,-3.602531,0.909529,2.422807,-3.941255,0.947080,2.363605,-3.944296,0.946112,2.505382,,,
1931,5.363889,0.009080,-0.005362,0.040441,-0.999126,-3.760559,0.926923,2.428944,0.000000,-3.660872,0.915443,2.315649,0.867011,-3.653644,0.916503,2.537147,0.842911,-3.602595,0.909544,2.422800,0.900489,-3.941336,0.947059,2.363672,0.932571,-3.944348,0.946067,2.505449,0.755602,-3.660872,0.915443,2.315649,-3.653644,0.916503,2.537147,-3.602595,0.909544,2.422800,-3.941336,0.947059,2.363672,-3.944348,0.946067,2.505449,,,
1932,5.366667,0.009049,-0.005142,0.040767,-0.999115,-3.760562,0.926857,2.428995,0.000000,-3.660831,0.915317,2.315744,0.853869,-3.653701,0.916363,2.537246,0.842813,-3.602606,0.909376,2.422921,0.895712,-3.941297,0.947113,2.363643,0.925845,-3.944372,0.946117,2.505419,0.750404,-3.660831,0.915317,2.315744,-3.653701,0.916363,2.537246,-3.602606,0.909376,2.422921,-3.941297,0.947113,2.363643,-3.944372,0.946117,2.505419,,,
1933,5.369444,0.009055,-0.005327,0.040314,-0.999132,-3.760574,0.926915,2.428950,0.000000,-3.660876,0.915465,2.315662,0.854900,-3.653663,0.916516,2.537161,0.843362,-3.602605,0.909576,2.422817,0.895785,-3.941352,0.947008,2.363667,0.926191,-3.944373,0.946008,2.505444,0.750460,-3.660876,0.915465,2.315662,-3.653663,0.916516,2.537161,-3.602605,0.909576,2.422817,-3.941352,0.947008,2.363667,-3.944373,0.946008,2.505444,,,
1934,5.372222,0.009251,-0.005389,0.040332,-0.999129,-3.760589,0.926908,2.428947,0.000000,-3.660907,0.915411,2.315650,0.855249,-3.653663,0.916547,2.537147,0.844221,-3.602621,0.909561,2.422798,0.894893,-3.941375,0.946982,2.363682,0.926342,-3.944376,0.946037,2.505460,0.751663,-3.660907,0.915411,2.315650,-3.653663,0.916547,2.537147,-3.602621,0.909561,2.422798,-3.941375,0.946982,2.363682,-3.944376,0.946037,2.505460,,,
1935,5.375000,0.008999,-0.005100,0.040790,-0.999114,-3.760585,0.926893,2.429031,0.000000,-3.660845,0.915359,2.315788,0.865534,-3.653734,0.916383,2.537290,0.842638,-3.602630,0.909405,2.422969,0.899442,-3.941313,0.947163,2.363665,0.931212,-3.944402,0.946154,2.505441,0.754518,-3.660845,0.915359,2.315788,-3.653734,0.916383,2.537290,-3.602630,0.909405,2.422969,-3.941313,0.947163,2.363665,-3.944402,0.946154,2.505441,,,
1936,5.377778,0.009123,-0.005375,0.040461,-0.999125,-3.760623,0.926895,2.428969,0.000000,-3.660940,0.915402,2.315672,0.865534,-3.653705,0.916480,2.537170,0.842638,-3.602660,0.909509,2.422822,0.899442,-3.941402,0.947033,2.363702,0.931212,-3.944409,0.946053,2.505479,0.754518,-3.660940,0.915402,2.315672,-3.653705,0.916480,2.537170,-3.602660,0.909509,2.422822,-3.941402,0.947033,2.363702,-3.944409,0.946053,2.505479,,,
1937,5.380556,0.009616,-0.005396,0.040073,-0.999136,-3.760464,0.926842,2.429050,0.000000,-3.660782,0.915315,2.315755,0.855022,-3.653528,0.916616,2.537251,0.843088,-3.602488,0.909574,2.422905,0.895315,-3.941264,0.946775,2.363779,0.926335,-3.944258,0.945931,2.505557,0.751004,-3.660782,0.915315,2.315755,-3.653528,0.916616,2.537251,-3.602488,0.909574,2.422905,-3.941264,0.946775,2.363779,-3.944258,0.945931,2.505557,,,
1938,5.383333,0.009127,-0.005288,0.040426,-0.999127,-3.760647,0.926902,2.428983,0.000000,-3.660943,0.915414,2.315703,0.859787,-3.653746,0.916496,2.537202,0.851884,-3.602681,0.909527,2.422863,0.890621,-3.941415,0.947026,2.363683,0.926290,-3.944447,0.946048,2.505460,0.746973,-3.660943,0.915414,2.315703,-3.653746,0.916496,2.537202,-3.602681,0.909527,2.422863,-3.941415,0.947026,2.363683,-3.944447,0.946048,2.505460,,,
1939,5.386111,0.008958,-0.005331,0.040503,-0.999125,-3.760591,0.926909,2.428986,0.000000,-3.660897,0.915443,2.315695,0.855218,-3.653685,0.916449,2.537194,0.844034,-3.602629,0.909512,2.422849,0.894497,-3.941361,0.947083,2.363706,0.927184,-3.944383,0.946057,2.505483,0.751500,-3.660897,0.915443,2.315695,-3.653685,0.916449,2.537194,-3.602629,0.909512,2.422849,-3.941361,0.947083,2.363706,-3.944383,0.946057,2.505483,,,
1940,5.388889,0.008986,-0.005237,0.040509,-0.999125,-3.760449,0.926965,2.428991,0.000000,-3.660734,0.915491,2.315720,0.854267,-3.653563,0.916510,2.537220,0.843336,-3.602486,0.909565,2.422884,0.895146,-3.941207,0.947137,2.363676,0.925794,-3.944255,0.946120,2.505452,0.751000,-3.660734,0.915491,2.315720,-3.653563,0.916510,2.537220,-3.602486,0.909565,2.422884,-3.941207,0.947137,2.363676,-3.944255,0.946120,2.505452,,,
1941,5.391667,0.008881,-0.004934,0.040617,-0.999123,-3.760633,0.926849,2.429055,0.000000,-3.660850,0.915375,2.315843,0.851068,-3.653816,0.916352,2.537348,0.836336,-3.602669,0.909417,2.423043,0.898333,-3.941346,0.947071,2.363632,0.921121,-3.944482,0.946029,2.505407,0.751849,-3.660850,0.915375,2.315843,-3.653816,0.916352,2.537348,-3.602669,0.909417,2.423043,-3.941346,0.947071,2.363632,-3.944482,0.946029,2.505407,,,
1942,5.394444,0.008933,-0.005048,0.040612,-0.999122,-3.760718,0.926840,2.429085,0.000000,-3.660962,0.915357,2.315851,0.863951,-3.653876,0.916355,2.537354,0.857177,-3.602756,0.909410,2.423038,0.895379,-3.941447,0.947055,2.363703,0.926608,-3.944550,0.946026,2.505478,0.764426,-3.660962,0.915357,2.315851,-3.653876,0.916355,2.537354,-3.602756,0.909410,2.423038,-3.941447,0.947055,2.363703,-3.944550,0.946026,2.505478,,,
1943,5.397222,0.008708,-0.005051,0.040620,-0.999124,-3.760689,0.926830,2.429068,0.000000,-3.660932,0.915395,2.315831,0.851764,-3.653848,0.916294,2.537334,0.837061,-3.602727,0.909399,2.423015,0.899346,-3.941417,0.947077,2.363693,0.921983,-3.944521,0.945984,2.505467,0.753689,-3.660932,0.915395,2.315831,-3.653848,0.916294,2.537334,-3.602727,0.909399,2.423015,-3.941417,0.947077,2.363693,-3.944521,0.945984,2.505467,,,
1944,5.400000,0.008951,-0.005233,0.040394,-0.999130,-3.760648,0.926876,2.429016,0.000000,-3.660929,0.915433,2.315745,0.854763,-3.653760,0.916439,2.537246,0.844088,-3.602680,0.909514,2.422910,0.895511,-3.941409,0.947011,2.363702,0.925569,-3.944459,0.945984,2.505478,0.752036,-3.660929,0.915433,2.315745,-3.653760,0.916439,2.537246,-3.602680,0.909514,2.422910,-3.941409,0.947011,2.363702,-3.944459,0.945984,2.505478,,,
1945,5.402778,0.008945,-0.005280,0.040296,-0.999134,-3.760634,0.926887,2.428998,0.000000,-3.660924,0.915466,2.315717,0.860563,-3.653734,0.916469,2.537217,0.852485,-3.602664,0.909556,2.422876,0.888359,-3.941406,0.946988,2.363700,0.926413,-3.944442,0.945958,2.505477,0.745019,-3.660923,0.915466,2.315717,-3.653734,0.916469,2.537217,-3.602664,0.909556,2.422876,-3.941406,0.946988,2.363700,-3.944442,0.945958,2.505477,,,
1946,5.405556,0.008889,-0.005236,0.040475,-0.999127,-3.760674,0.926878,2.429032,0.000000,-3.660957,0.915433,2.315759,0.857238,-3.653788,0.916410,2.537260,0.843734,-3.602709,0.909490,2.422923,0.903413,-3.941432,0.947050,2.363719,0.921401,-3.944482,0.946006,2.505495,0.770702,-3.660957,0.915433,2.315759,-3.653788,0.916410,2.537260,-3.602709,0.909490,2.422923,-3.941432,0.947050,2.363719,-3.944482,0.946006,2.505495,,,
1947,5.408333,0.009014,-0.005102,0.040592,-0.999122,-3.760751,0.926802,2.429074,0.000000,-3.661007,0.915304,2.315831,0.855784,-3.653895,0.916337,2.537333,0.845012,-3.602788,0.909376,2.423012,0.894446,-3.941487,0.946999,2.363709,0.926040,-3.944574,0.945992,2.505485,0.751789,-3.661007,0.915304,2.315831,-3.653895,0.916337,2.537333,-3.602788,0.909376,2.423012,-3.941487,0.946999,2.363709,-3.944574,0.945992,2.505485,,,
1948,5.411111,0.009036,-0.005429,0.040290,-0.999132,-3.760539,0.926852,2.429120,0.000000,-3.660863,0.915412,2.315810,0.854147,-3.653605,0.916453,2.537308,0.844354,-3.602570,0.909521,2.422953,0.896124,-3.941331,0.946939,2.363874,0.926098,-3.944323,0.945933,2.505652,0.751365,-3.660863,0.915412,2.315810,-3.653605,0.916453,2.537308,-3.602570,0.909521,2.422953,-3.941331,0.946939,2.363874,-3.944323,0.945933,2.505652,,,
1949,5.413889,0.008688,-0.005160,0.040553,-0.999126,-3.760537,0.926937,2.429031,0.000000,-3.660802,0.915521,2.315772,0.851799,-3.653671,0.916409,2.537274,0.851488,-3.602574,0.909527,2.422943,0.894094,-3.941281,0.947163,2.363696,0.914938,-3.944355,0.946064,2.505471,0.738378,-3.660802,0.915521,2.315772,-3.653671,0.916409,2.537274,-3.602574,0.909527,2.422943,-3.941281,0.947163,2.363696,-3.944355,0.946064,2.505471,,,
1950,5.416667,0.008681,-0.005093,0.040399,-0.999133,-3.760496,0.926997,2.429054,0.000000,-3.660743,0.915613,2.315807,0.854852,-3.653641,0.916501,2.537310,0.842437,-3.602527,0.909636,2.422987,0.896483,-3.941237,0.947168,2.363696,0.926289,-3.944330,0.946066,2.505471,0.750999,-3.660743,0.915613,2.315807,-3.653641,0.916501,2.537310,-3.602527,0.909636,2.422987,-3.941237,0.947168,2.363696,-3.944330,0.946066,2.505471,,,
1951,5.419444,0.009074,-0.005272,0.040670,-0.999118,-3.760588,0.926849,2.429178,0.000000,-3.660885,0.915323,2.315902,0.854183,-3.653697,0.916379,2.537401,0.842487,-3.602631,0.909398,2.423063,0.897127,-3.941344,0.947067,2.363874,0.925794,-3.944382,0.946076,2.505650,0.750100,-3.660885,0.915323,2.315902,-3.653697,0.916379,2.537401,-3.602631,0.909398,2.423063,-3.941344,0.947067,2.363874,-3.944382,0.946076,2.505650,,,
1952,5.422222,0.008859,-0.005169,0.040575,-0.999124,-3.760744,0.926828,2.429101,0.000000,-3.661014,0.915369,2.315841,0.850050,-3.653875,0.916333,2.537343,0.848362,-3.602782,0.909409,2.423013,0.894005,-3.941489,0.947039,2.363765,0.914297,-3.944559,0.945988,2.505540,0.736539,-3.661014,0.915369,2.315841,-3.653875,0.916333,2.537343,-3.602782,0.909409,2.423013,-3.941489,0.947039,2.363765,-3.944559,0.945988,2.505540,,,
