Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,0.008984,-0.004907,0.040608,-0.999123,-3.760835,0.926795,2.428828,0.000000,-3.661047,0.915300,2.315624,0.856535,-3.654022,0.916323,2.537128,0.840455,-3.602871,0.909366,2.422827,0.903559,-3.941545,0.947000,2.363394,0.917914,-3.944688,0.945987,2.505168,0.760850,-3.661047,0.915300,2.315624,-3.654022,0.916323,2.537128,-3.602871,0.909366,2.422827,-3.941545,0.947000,2.363394,-3.944688,0.945987,2.505168,,,
7,0.019444,0.009589,-0.005233,0.040091,-0.999136,-3.760716,0.926876,2.428731,0.000000,-3.660997,0.915351,2.315469,0.866645,-3.653816,0.916642,2.536968,0.836438,-3.602739,0.909603,2.422638,0.903662,-3.941494,0.946818,2.363401,0.925152,-3.944535,0.945969,2.505179,0.756792,-3.660997,0.915351,2.315469,-3.653816,0.916642,2.536968,-3.602739,0.909603,2.422638,-3.941494,0.946818,2.363401,-3.944535,0.945969,2.505179,,,
8,0.022222,0.009599,-0.005225,0.040169,-0.999133,-3.760674,0.926895,2.428762,0.000000,-3.660955,0.915351,2.315502,0.853295,-3.653777,0.916646,2.537001,0.837520,-3.602699,0.909596,2.422672,0.899612,-3.941448,0.946863,2.363429,0.918827,-3.944491,0.946017,2.505206,0.753478,-3.660955,0.915351,2.315502,-3.653777,0.916646,2.537001,-3.602699,0.909596,2.422672,-3.941448,0.946863,2.363429,-3.944491,0.946017,2.505206,,,
9,0.025000,0.009354,-0.005370,0.040438,-0.999124,-3.760752,0.926925,2.428729,0.000000,-3.661069,0.915384,2.315437,0.852891,-3.653832,0.916565,2.536934,0.839122,-3.602788,0.909544,2.422588,0.900043,-3.941532,0.947024,2.363454,0.920821,-3.944539,0.946110,2.505232,0.761727,-3.661069,0.915384,2.315437,-3.653832,0.916565,2.536934,-3.602788,0.909544,2.422588,-3.941532,0.947024,2.363454,-3.944539,0.946110,2.505232,,,
10,0.027778,0.009201,-0.005187,0.040273,-0.999133,-3.760734,0.926903,2.428760,0.000000,-3.661005,0.915428,2.315502,0.857101,-3.653851,0.916546,2.537002,0.841839,-3.602762,0.909576,2.422674,0.902885,-3.941496,0.946961,2.363423,0.918689,-3.944555,0.946004,2.505199,0.759714,-3.661005,0.915428,2.315502,-3.653851,0.916546,2.537002,-3.602762,0.909576,2.422674,-3.941496,0.946961,2.363423,-3.944555,0.946004,2.505199,,,
11,0.030556,0.009124,-0.005177,0.040620,-0.999120,-3.760836,0.926838,2.428771,0.000000,-3.661111,0.915311,2.315514,0.849548,-3.653964,0.916391,2.537015,0.835449,-3.602876,0.909402,2.422687,0.896429,-3.941582,0.947031,2.363431,0.919097,-3.944646,0.946055,2.505207,0.753304,-3.661111,0.915311,2.315514,-3.653964,0.916391,2.537015,-3.602876,0.909402,2.422687,-3.941582,0.947031,2.363431,-3.944646,0.946055,2.505207,,,
12,0.033333,0.009669,-0.005332,0.040169,-0.999132,-3.760710,0.926862,2.428746,0.000000,-3.661015,0.915304,2.315465,0.853927,-3.653789,0.916628,2.536962,0.837252,-3.602736,0.909563,2.422623,0.900581,-3.941497,0.946822,2.363450,0.917931,-3.944510,0.945995,2.505228,0.752813,-3.661015,0.915304,2.315465,-3.653789,0.916628,2.536962,-3.602736,0.909563,2.422623,-3.941497,0.946822,2.363450,-3.944510,0.945995,2.505228,,,
13,0.036111,0.008977,-0.005262,0.040526,-0.999124,-3.760755,0.926913,2.428746,0.000000,-3.661045,0.915438,2.315470,0.856524,-3.653863,0.916453,2.536970,0.840348,-3.602792,0.909508,2.422632,0.902332,-3.941515,0.947092,2.363441,0.916884,-3.944556,0.946073,2.505217,0.758312,-3.661045,0.915438,2.315470,-3.653863,0.916453,2.536970,-3.602792,0.909508,2.422632,-3.941515,0.947092,2.363441,-3.944556,0.946073,2.505217,,,
14,0.038889,0.008840,-0.005131,0.040393,-0.999132,-3.760715,0.926896,2.428763,0.000000,-3.660972,0.915478,2.315511,0.856524,-3.653850,0.916436,2.537013,0.840348,-3.602746,0.909535,2.422687,0.902332,-3.941463,0.947044,2.363414,0.916884,-3.944542,0.945987,2.505189,0.758312,-3.660972,0.915478,2.315511,-3.653850,0.916436,2.537013,-3.602746,0.909535,2.422687,-3.941463,0.947044,2.363414,-3.944542,0.945987,2.505189,,,
15,0.041667,0.008937,-0.005072,0.040397,-0.999131,-3.760665,0.926903,2.428700,0.000000,-3.660910,0.915461,2.315461,0.853487,-3.653813,0.916463,2.536963,0.843729,-3.602696,0.909540,2.422644,0.893717,-3.941406,0.947039,2.363327,0.925143,-3.944501,0.946010,2.505102,0.750948,-3.660910,0.915461,2.315461,-3.653813,0.916463,2.536963,-3.602696,0.909540,2.422644,-3.941406,0.947039,2.363327,-3.944501,0.946010,2.505102,,,
